date,year,month,toa_net_flux_w_m2,decimal_year
2017-07-01,2017,7,92.750000,2017.541667
2017-08-01,2017,8,92.530000,2017.625000
2017-09-01,2017,9,93.940000,2017.708333
2017-10-01,2017,10,100.090000,2017.791667
2017-11-01,2017,11,105.590000,2017.875000
2017-12-01,2017,12,107.910000,2017.958333
2018-01-01,2018,1,105.150000,2018.041667
2018-02-01,2018,2,102.190000,2018.125000
2018-03-01,2018,3,98.380000,2018.208333
2018-04-01,2018,4,95.470000,2018.291667
2018-05-01,2018,5,96.220000,2018.375000
2018-06-01,2018,6,95.910000,2018.458333
2018-07-01,2018,7,93.480000,2018.541667
2018-08-01,2018,8,92.510000,2018.625000
2018-09-01,2018,9,93.040000,2018.708333
2018-10-01,2018,10,98.820000,2018.791667
2018-11-01,2018,11,104.660000,2018.875000
2018-12-01,2018,12,106.450000,2018.958333
2019-01-01,2019,1,105.120000,2019.041667
2019-02-01,2019,2,100.690000,2019.125000
2019-03-01,2019,3,97.260000,2019.208333
2019-04-01,2019,4,96.030000,2019.291667
2019-05-01,2019,5,95.830000,2019.375000
2019-06-01,2019,6,95.320000,2019.458333
2019-07-01,2019,7,92.680000,2019.541667
2019-08-01,2019,8,91.690000,2019.625000
2019-09-01,2019,9,92.630000,2019.708333
2019-10-01,2019,10,97.860000,2019.791667
2019-11-01,2019,11,104.420000,2019.875000
2019-12-01,2019,12,106.350000,2019.958333
2020-01-01,2020,1,105.500000,2020.041667
2020-02-01,2020,2,101.050000,2020.125000
2020-03-01,2020,3,97.370000,2020.208333
2020-04-01,2020,4,95.420000,2020.291667
2020-05-01,2020,5,95.520000,2020.375000
2020-06-01,2020,6,94.820000,2020.458333
2020-07-01,2020,7,93.300000,2020.541667
2020-08-01,2020,8,91.100000,2020.625000
2020-09-01,2020,9,93.590000,2020.708333
2020-10-01,2020,10,100.030000,2020.791667
2020-11-01,2020,11,105.240000,2020.875000
2020-12-01,2020,12,108.000000,2020.958333
2021-01-01,2021,1,105.680000,2021.041667
2021-02-01,2021,2,100.980000,2021.125000
2021-03-01,2021,3,97.430000,2021.208333
2021-04-01,2021,4,96.090000,2021.291667
2021-05-01,2021,5,96.530000,2021.375000
2021-06-01,2021,6,94.510000,2021.458333
2021-07-01,2021,7,93.330000,2021.541667
2021-08-01,2021,8,91.330000,2021.625000
2021-09-01,2021,9,93.380000,2021.708333
2021-10-01,2021,10,98.710000,2021.791667
2021-11-01,2021,11,104.430000,2021.875000
2021-12-01,2021,12,107.510000,2021.958333
2022-01-01,2022,1,104.820000,2022.041667
2022-02-01,2022,2,100.500000,2022.125000
2022-03-01,2022,3,97.800000,2022.208333
2022-04-01,2022,4,96.100000,2022.291667
2022-05-01,2022,5,96.790000,2022.375000
2022-06-01,2022,6,94.290000,2022.458333
2022-07-01,2022,7,93.420000,2022.541667
2022-08-01,2022,8,91.810000,2022.625000
