date,year,month,toa_net_flux_w_m2,decimal_year,EEI
2006-05-01,2006,5,0.7,2006.375,-0.17
2006-06-01,2006,6,-0.23,2006.4583333333333,-0.11083333333333334
2006-07-01,2006,7,-0.7,2006.5416666666667,-0.0675
2006-08-01,2006,8,-0.9,2006.625,-0.05583333333333334
2006-09-01,2006,9,-0.03,2006.7083333333333,-0.0425
2006-10-01,2006,10,-0.85,2006.7916666666667,-0.06583333333333334
2006-11-01,2006,11,0.32,2006.875,-0.001666666666666668
2006-12-01,2006,12,-0.22,2006.9583333333333,-0.0775
2007-01-01,2007,1,-1.49,2007.0416666666667,-0.25
2007-02-01,2007,2,-0.32,2007.125,-0.30333333333333334
2007-03-01,2007,3,-1.0,2007.2083333333333,-0.3641666666666667
2007-04-01,2007,4,-0.15,2007.2916666666667,-0.4058333333333333
2007-05-01,2007,5,-0.69,2007.375,-0.5216666666666666
2007-06-01,2007,6,0.27,2007.4583333333333,-0.48
2007-07-01,2007,7,-0.23,2007.5416666666667,-0.44083333333333335
2007-08-01,2007,8,-0.8,2007.625,-0.43249999999999994
2007-09-01,2007,9,-1.29,2007.7083333333333,-0.5375
2007-10-01,2007,10,-0.43,2007.7916666666667,-0.5025000000000001
2007-11-01,2007,11,-0.96,2007.875,-0.6091666666666667
2007-12-01,2007,12,-1.25,2007.9583333333333,-0.695
2008-01-01,2008,1,0.16,2008.0416666666667,-0.5575
2008-02-01,2008,2,-0.46,2008.125,-0.5691666666666667
2008-03-01,2008,3,0.68,2008.2083333333333,-0.4291666666666667
2008-04-01,2008,4,-0.26,2008.2916666666667,-0.4383333333333333
2008-05-01,2008,5,0.77,2008.375,-0.3166666666666667
2008-06-01,2008,6,0.34,2008.4583333333333,-0.31083333333333335
2008-07-01,2008,7,0.54,2008.5416666666667,-0.24666666666666667
2008-08-01,2008,8,1.04,2008.625,-0.09333333333333332
2008-09-01,2008,9,-0.24,2008.7083333333333,-0.00583333333333332
2008-10-01,2008,10,0.59,2008.7916666666667,0.07916666666666668
2008-11-01,2008,11,-0.5,2008.875,0.11750000000000001
2008-12-01,2008,12,1.03,2008.9583333333333,0.3075
2009-01-01,2009,1,0.27,2009.0416666666667,0.31666666666666665
2009-02-01,2009,2,0.42,2009.125,0.38999999999999996
2009-03-01,2009,3,0.55,2009.2083333333333,0.37916666666666665
2009-04-01,2009,4,-0.16,2009.2916666666667,0.38749999999999996
2009-05-01,2009,5,0.53,2009.375,0.3675
2009-06-01,2009,6,1.44,2009.4583333333333,0.45916666666666667
2009-07-01,2009,7,-0.2,2009.5416666666667,0.39749999999999996
2009-08-01,2009,8,-0.13,2009.625,0.3
2009-09-01,2009,9,-0.92,2009.7083333333333,0.24333333333333332
2009-10-01,2009,10,-0.52,2009.7916666666667,0.1508333333333333
2009-11-01,2009,11,-1.08,2009.875,0.10249999999999997
2009-12-01,2009,12,-0.05,2009.9583333333333,0.012499999999999978
2010-01-01,2010,1,-1.74,2010.0416666666667,-0.15500000000000003
2010-02-01,2010,2,-0.79,2010.125,-0.25583333333333336
2010-03-01,2010,3,-1.25,2010.2083333333333,-0.4058333333333333
2010-04-01,2010,4,0.03,2010.2916666666667,-0.38999999999999996
2010-05-01,2010,5,-1.01,2010.375,-0.5183333333333334
2010-06-01,2010,6,-0.76,2010.4583333333333,-0.7016666666666667
2010-07-01,2010,7,-0.72,2010.5416666666667,-0.7450000000000001
2010-08-01,2010,8,-1.14,2010.625,-0.8291666666666666
2010-09-01,2010,9,-0.48,2010.7083333333333,-0.7925
2010-10-01,2010,10,-0.55,2010.7916666666667,-0.7949999999999999
2010-11-01,2010,11,-1.36,2010.875,-0.8183333333333334
2010-12-01,2010,12,-0.65,2010.9583333333333,-0.8683333333333333
2011-01-01,2011,1,0.17,2011.0416666666667,-0.7091666666666666
2011-02-01,2011,2,-0.38,2011.125,-0.6749999999999999
2011-03-01,2011,3,-0.02,2011.2083333333333,-0.5725
2011-04-01,2011,4,0.34,2011.2916666666667,-0.5466666666666667
2011-05-01,2011,5,0.66,2011.375,-0.40750000000000003
2011-06-01,2011,6,-0.52,2011.4583333333333,-0.38749999999999996
2011-07-01,2011,7,-0.35,2011.5416666666667,-0.3566666666666667
2011-08-01,2011,8,-0.48,2011.625,-0.3016666666666667
2011-09-01,2011,9,-0.89,2011.7083333333333,-0.33583333333333326
2011-10-01,2011,10,1.03,2011.7916666666667,-0.2041666666666667
2011-11-01,2011,11,-0.03,2011.875,-0.09333333333333332
2011-12-01,2011,12,-1.51,2011.9583333333333,-0.165
2012-01-01,2012,1,0.34,2012.0416666666667,-0.1508333333333333
2012-02-01,2012,2,1.8,2012.125,0.030833333333333362
2012-03-01,2012,3,-0.18,2012.2083333333333,0.01750000000000003
2012-04-01,2012,4,0.52,2012.2916666666667,0.03250000000000003
2012-05-01,2012,5,0.73,2012.375,0.03833333333333336
2012-06-01,2012,6,0.23,2012.4583333333333,0.10083333333333337
2012-07-01,2012,7,0.43,2012.5416666666667,0.16583333333333336
2012-08-01,2012,8,0.38,2012.625,0.23750000000000002
2012-09-01,2012,9,-0.19,2012.7083333333333,0.29583333333333334
2012-10-01,2012,10,0.55,2012.7916666666667,0.25583333333333336
2012-11-01,2012,11,0.55,2012.875,0.3041666666666667
2012-12-01,2012,12,0.75,2012.9583333333333,0.4925
2013-01-01,2013,1,-1.63,2013.0416666666667,0.32833333333333337
2013-02-01,2013,2,-0.39,2013.125,0.14583333333333337
2013-03-01,2013,3,0.46,2013.2083333333333,0.1991666666666667
2013-04-01,2013,4,-0.75,2013.2916666666667,0.09333333333333337
2013-05-01,2013,5,0.13,2013.375,0.04333333333333336
2013-06-01,2013,6,-0.63,2013.4583333333333,-0.028333333333333304
2013-07-01,2013,7,0.27,2013.5416666666667,-0.04166666666666664
2013-08-01,2013,8,-0.03,2013.625,-0.07583333333333331
2013-09-01,2013,9,-0.32,2013.7083333333333,-0.08666666666666663
2013-10-01,2013,10,-0.5,2013.7916666666667,-0.17416666666666666
2013-11-01,2013,11,-0.14,2013.875,-0.2316666666666666
2013-12-01,2013,12,-0.11,2013.9583333333333,-0.3033333333333333
2014-01-01,2014,1,-0.56,2014.0416666666667,-0.21416666666666664
2014-02-01,2014,2,-0.42,2014.125,-0.21666666666666667
2014-03-01,2014,3,0.17,2014.2083333333333,-0.24083333333333334
2014-04-01,2014,4,0.35,2014.2916666666667,-0.14916666666666667
2014-05-01,2014,5,0.63,2014.375,-0.1075
2014-06-01,2014,6,-0.6,2014.4583333333333,-0.105
2014-07-01,2014,7,-0.75,2014.5416666666667,-0.19000000000000003
2014-08-01,2014,8,0.69,2014.625,-0.13000000000000003
2014-09-01,2014,9,0.29,2014.7083333333333,-0.07916666666666668
2014-10-01,2014,10,0.16,2014.7916666666667,-0.02416666666666668
2014-11-01,2014,11,0.08,2014.875,-0.005833333333333342
2014-12-01,2014,12,-0.46,2014.9583333333333,-0.03500000000000001
2015-01-01,2015,1,-0.99,2015.0416666666667,-0.07083333333333335
2015-02-01,2015,2,0.34,2015.125,-0.007500000000000007
2015-03-01,2015,3,0.22,2015.2083333333333,-0.003333333333333343
2015-04-01,2015,4,0.26,2015.2916666666667,-0.010833333333333342
2015-05-01,2015,5,0.63,2015.375,-0.010833333333333342
2015-06-01,2015,6,0.07,2015.4583333333333,0.044999999999999984
2015-07-01,2015,7,0.58,2015.5416666666667,0.15583333333333332
2015-08-01,2015,8,0.69,2015.625,0.15583333333333332
2015-09-01,2015,9,0.68,2015.7083333333333,0.18833333333333332
2015-10-01,2015,10,0.23,2015.7916666666667,0.19416666666666663
2015-11-01,2015,11,-0.11,2015.875,0.17833333333333334
2015-12-01,2015,12,-0.19,2015.9583333333333,0.20083333333333334
2016-01-01,2016,1,-0.41,2016.0416666666667,0.24916666666666665
2016-02-01,2016,2,-1.56,2016.125,0.09083333333333332
2016-03-01,2016,3,-0.56,2016.2083333333333,0.02583333333333331
2016-04-01,2016,4,-0.57,2016.2916666666667,-0.043333333333333356
2016-05-01,2016,5,0.04,2016.375,-0.09250000000000003
2016-06-01,2016,6,1.44,2016.4583333333333,0.02166666666666665
2016-07-01,2016,7,0.44,2016.5416666666667,0.009999999999999976
2016-08-01,2016,8,0.27,2016.625,-0.025000000000000022
2016-09-01,2016,9,0.23,2016.7083333333333,-0.06250000000000003
2016-10-01,2016,10,-0.02,2016.7916666666667,-0.08333333333333336
2016-11-01,2016,11,0.8,2016.875,-0.007500000000000025
2016-12-01,2016,12,0.56,2016.9583333333333,0.05499999999999997
2017-01-01,2017,1,0.87,2017.0416666666667,0.16166666666666663
2017-02-01,2017,2,0.84,2017.125,0.36166666666666664
2017-03-01,2017,3,0.37,2017.2083333333333,0.4391666666666667
2017-04-01,2017,4,-0.12,2017.2916666666667,0.4766666666666666
2017-05-01,2017,5,-0.28,2017.375,0.44999999999999996
2017-06-01,2017,6,0.53,2017.4583333333333,0.3741666666666667
2017-07-01,2017,7,0.53,2017.5416666666667,0.38166666666666665
2017-08-01,2017,8,-0.17,2017.625,0.345
2017-09-01,2017,9,-0.58,2017.7083333333333,0.27749999999999997
2017-10-01,2017,10,-0.7,2017.7916666666667,0.2208333333333333
2017-11-01,2017,11,-0.01,2017.875,0.15333333333333332
2017-12-01,2017,12,-0.61,2017.9583333333333,0.05583333333333332
2018-01-01,2018,1,0.45,2018.0416666666667,0.02083333333333331
2018-02-01,2018,2,0.29,2018.125,-0.025000000000000026
2018-03-01,2018,3,-0.17,2018.2083333333333,-0.07000000000000002
2018-04-01,2018,4,0.94,2018.2916666666667,0.018333333333333313
2018-05-01,2018,5,0.52,2018.375,0.08499999999999998
2018-06-01,2018,6,-0.58,2018.4583333333333,-0.007500000000000016
2018-07-01,2018,7,0.09,2018.5416666666667,-0.04416666666666669
2018-08-01,2018,8,0.1,2018.625,-0.02166666666666668
2018-09-01,2018,9,0.89,2018.7083333333333,0.10083333333333332
2018-10-01,2018,10,0.92,2018.7916666666667,0.23583333333333334
2018-11-01,2018,11,1.1,2018.875,0.3283333333333333
2018-12-01,2018,12,1.16,2018.9583333333333,0.47583333333333333
2019-01-01,2019,1,0.26,2019.0416666666667,0.45999999999999996
2019-02-01,2019,2,0.58,2019.125,0.48416666666666663
2019-03-01,2019,3,0.47,2019.2083333333333,0.5375
2019-04-01,2019,4,0.14,2019.2916666666667,0.4708333333333334
2019-05-01,2019,5,0.52,2019.375,0.47083333333333327
2019-06-01,2019,6,0.57,2019.4583333333333,0.5666666666666667
2019-07-01,2019,7,0.46,2019.5416666666667,0.5975
2019-08-01,2019,8,-0.06,2019.625,0.5841666666666666
2019-09-01,2019,9,0.49,2019.7083333333333,0.5508333333333333
2019-10-01,2019,10,1.43,2019.7916666666667,0.5933333333333333
2019-11-01,2019,11,0.73,2019.875,0.5625
2019-12-01,2019,12,-0.06,2019.9583333333333,0.4608333333333334
2020-01-01,2020,1,-0.23,2020.0416666666667,0.41999999999999993
2020-02-01,2020,2,-0.46,2020.125,0.3333333333333333
2020-03-01,2020,3,0.14,2020.2083333333333,0.30583333333333335
2020-04-01,2020,4,0.35,2020.2916666666667,0.3233333333333333
2020-05-01,2020,5,0.19,2020.375,0.29583333333333334
2020-06-01,2020,6,0.09,2020.4583333333333,0.2558333333333333
2020-07-01,2020,7,0.2,2020.5416666666667,0.23416666666666666
2020-08-01,2020,8,0.71,2020.625,0.29833333333333334
2020-09-01,2020,9,-0.23,2020.7083333333333,0.23833333333333329
2020-10-01,2020,10,-0.64,2020.7916666666667,0.06583333333333331
2020-11-01,2020,11,-0.99,2020.875,-0.07750000000000003
2020-12-01,2020,12,-1.02,2020.9583333333333,-0.15750000000000003
2021-01-01,2021,1,-0.24,2021.0416666666667,-0.15833333333333335
2021-02-01,2021,2,0.02,2021.125,-0.11833333333333336
2021-03-01,2021,3,0.82,2021.2083333333333,-0.061666666666666696
2021-04-01,2021,4,0.91,2021.2916666666667,-0.015000000000000022
2021-05-01,2021,5,0.56,2021.375,0.015833333333333314
2021-06-01,2021,6,1.68,2021.4583333333333,0.14833333333333332
2021-07-01,2021,7,0.61,2021.5416666666667,0.1825
2021-08-01,2021,8,0.78,2021.625,0.18833333333333332
2021-09-01,2021,9,0.88,2021.7083333333333,0.2808333333333333
2021-10-01,2021,10,0.5,2021.7916666666667,0.3758333333333333
2021-11-01,2021,11,0.98,2021.875,0.5399999999999999
2021-12-01,2021,12,-0.05,2021.9583333333333,0.6208333333333333
2022-01-01,2022,1,0.85,2022.0416666666667,0.7116666666666666
2022-02-01,2022,2,0.57,2022.125,0.7575
2022-03-01,2022,3,0.5,2022.2083333333333,0.7308333333333333
2022-04-01,2022,4,-0.26,2022.2916666666667,0.6333333333333333
2022-05-01,2022,5,-0.35,2022.375,0.5575
2022-06-01,2022,6,1.58,2022.4583333333333,0.5491666666666667
2022-07-01,2022,7,-0.03,2022.5416666666667,0.49583333333333335
2022-08-01,2022,8,1.05,2022.625,0.5183333333333333
2022-09-01,2022,9,0.71,2022.7083333333333,0.5041666666666667
2022-10-01,2022,10,0.68,2022.7916666666667,0.5191666666666667
2022-11-01,2022,11,0.65,2022.875,0.4916666666666667
2022-12-01,2022,12,1.38,2022.9583333333333,0.6108333333333333
2023-01-01,2023,1,1.16,2023.0416666666667,0.6366666666666666
2023-02-01,2023,2,1.15,2023.125,0.685
2023-03-01,2023,3,1.42,2023.2083333333333,0.7616666666666667
2023-04-01,2023,4,1.86,2023.2916666666667,0.9383333333333334
2023-05-01,2023,5,1.62,2023.375,1.1025
2023-06-01,2023,6,1.02,2023.4583333333333,1.0558333333333334
2023-07-01,2023,7,0.64,2023.5416666666667,1.1116666666666666
2023-08-01,2023,8,0.83,2023.625,1.0933333333333333
2023-09-01,2023,9,0.6,2023.7083333333333,1.0841666666666667
2023-10-01,2023,10,0.16,2023.7916666666667,1.0408333333333333
2023-11-01,2023,11,0.47,2023.875,1.0258333333333334
2023-12-01,2023,12,0.47,2023.9583333333333,0.9500000000000001
2024-01-01,2024,1,-0.4,2024.0416666666667,0.82
2024-02-01,2024,2,-0.13,2024.125,0.7133333333333333
2024-03-01,2024,3,-0.16,2024.2083333333333,0.5816666666666667
2024-04-01,2024,4,0.22,2024.2916666666667,0.445
2024-05-01,2024,5,-0.96,2024.375,0.22999999999999998
2024-06-01,2024,6,0.1,2024.4583333333333,0.15333333333333335
2024-07-01,2024,7,-0.14,2024.5416666666667,0.08833333333333333
2024-08-01,2024,8,0.33,2024.625,0.04666666666666667
2024-09-01,2024,9,0.11,2024.7083333333333,0.00583333333333334
2024-10-01,2024,10,0.38,2024.7916666666667,0.024166666666666673
2024-11-01,2024,11,0.2,2024.875,0.0016666666666666774
2024-12-01,2024,12,-0.42,2024.9583333333333,-0.0725
2025-01-01,2025,1,1.3,2025.0416666666667,0.06916666666666668
2025-02-01,2025,2,0.14,2025.125,0.09166666666666667
2025-03-01,2025,3,0.48,2025.2083333333333,0.14500000000000002
2025-04-01,2025,4,-0.07,2025.2916666666667,0.12083333333333335
2025-05-01,2025,5,-0.09,2025.375,0.19333333333333336
2025-06-01,2025,6,0.04,2025.4583333333333,0.18833333333333332
2025-07-01,2025,7,0.72,2025.5416666666667,0.26
2025-08-01,2025,8,1.17,2025.625,0.33
2025-09-01,2025,9,0.83,2025.7083333333333,0.38999999999999996
2025-10-01,2025,10,0.21,2025.7916666666667,0.3758333333333333
2025-11-01,2025,11,0.64,2025.875,0.41250000000000003
2025-12-01,2025,12,1.7,2025.9583333333333,0.5891666666666667
2026-01-01,2026,1,1.38,2026.0416666666667,0.5958333333333333
