date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2019-08-01,2019,8,2019.625000,-0.060000,0.584167
2019-09-01,2019,9,2019.708333,0.490000,0.550833
2019-10-01,2019,10,2019.791667,1.430000,0.593333
2019-11-01,2019,11,2019.875000,0.730000,0.562500
2019-12-01,2019,12,2019.958333,-0.060000,0.460833
2020-01-01,2020,1,2020.041667,-0.230000,0.420000
2020-02-01,2020,2,2020.125000,-0.460000,0.333333
2020-03-01,2020,3,2020.208333,0.140000,0.305833
2020-04-01,2020,4,2020.291667,0.350000,0.323333
2020-05-01,2020,5,2020.375000,0.190000,0.295833
2020-06-01,2020,6,2020.458333,0.090000,0.255833
2020-07-01,2020,7,2020.541667,0.200000,0.234167
2020-08-01,2020,8,2020.625000,0.710000,0.298333
2020-09-01,2020,9,2020.708333,-0.230000,0.238333
2020-10-01,2020,10,2020.791667,-0.640000,0.065833
2020-11-01,2020,11,2020.875000,-0.990000,-0.077500
2020-12-01,2020,12,2020.958333,-1.020000,-0.157500
2021-01-01,2021,1,2021.041667,-0.240000,-0.158333
2021-02-01,2021,2,2021.125000,0.020000,-0.118333
2021-03-01,2021,3,2021.208333,0.820000,-0.061667
2021-04-01,2021,4,2021.291667,0.910000,-0.015000
2021-05-01,2021,5,2021.375000,0.560000,0.015833
2021-06-01,2021,6,2021.458333,1.680000,0.148333
2021-07-01,2021,7,2021.541667,0.610000,0.182500
2021-08-01,2021,8,2021.625000,0.780000,0.188333
2021-09-01,2021,9,2021.708333,0.880000,0.280833
2021-10-01,2021,10,2021.791667,0.500000,0.375833
2021-11-01,2021,11,2021.875000,0.980000,0.540000
2021-12-01,2021,12,2021.958333,-0.050000,0.620833
2022-01-01,2022,1,2022.041667,0.850000,0.711667
2022-02-01,2022,2,2022.125000,0.570000,0.757500
2022-03-01,2022,3,2022.208333,0.500000,0.730833
2022-04-01,2022,4,2022.291667,-0.260000,0.633333
2022-05-01,2022,5,2022.375000,-0.350000,0.557500
2022-06-01,2022,6,2022.458333,1.580000,0.549167
2022-07-01,2022,7,2022.541667,-0.030000,0.495833
2022-08-01,2022,8,2022.625000,1.050000,0.518333
2022-09-01,2022,9,2022.708333,0.710000,0.504167
2022-10-01,2022,10,2022.791667,0.680000,0.519167
2022-11-01,2022,11,2022.875000,0.650000,0.491667
2022-12-01,2022,12,2022.958333,1.380000,0.610833
2023-01-01,2023,1,2023.041667,1.160000,0.636667
2023-02-01,2023,2,2023.125000,1.150000,0.685000
2023-03-01,2023,3,2023.208333,1.420000,0.761667
2023-04-01,2023,4,2023.291667,1.860000,0.938333
2023-05-01,2023,5,2023.375000,1.620000,1.102500
2023-06-01,2023,6,2023.458333,1.020000,1.055833
2023-07-01,2023,7,2023.541667,0.640000,1.111667
2023-08-01,2023,8,2023.625000,0.830000,1.093333
2023-09-01,2023,9,2023.708333,0.600000,1.084167
2023-10-01,2023,10,2023.791667,0.160000,1.040833
2023-11-01,2023,11,2023.875000,0.470000,1.025833
2023-12-01,2023,12,2023.958333,0.470000,0.950000
