date,year,month,toa_net_flux_w_m2,decimal_year
2017-09-01,2017,9,243.410000,2017.708333
2017-10-01,2017,10,240.740000,2017.791667
2017-11-01,2017,11,238.040000,2017.875000
2017-12-01,2017,12,237.440000,2017.958333
2018-01-01,2018,1,237.290000,2018.041667
2018-02-01,2018,2,237.090000,2018.125000
2018-03-01,2018,3,238.400000,2018.208333
2018-04-01,2018,4,239.240000,2018.291667
2018-05-01,2018,5,240.940000,2018.375000
2018-06-01,2018,6,243.380000,2018.458333
2018-07-01,2018,7,244.400000,2018.541667
2018-08-01,2018,8,243.990000,2018.625000
2018-09-01,2018,9,242.820000,2018.708333
2018-10-01,2018,10,240.290000,2018.791667
2018-11-01,2018,11,237.790000,2018.875000
2018-12-01,2018,12,237.120000,2018.958333
2019-01-01,2019,1,237.540000,2019.041667
2019-02-01,2019,2,238.370000,2019.125000
2019-03-01,2019,3,238.940000,2019.208333
2019-04-01,2019,4,239.510000,2019.291667
2019-05-01,2019,5,241.330000,2019.375000
2019-06-01,2019,6,242.810000,2019.458333
2019-07-01,2019,7,244.790000,2019.541667
2019-08-01,2019,8,244.910000,2019.625000
2019-09-01,2019,9,243.560000,2019.708333
2019-10-01,2019,10,240.660000,2019.791667
2019-11-01,2019,11,238.370000,2019.875000
2019-12-01,2019,12,238.420000,2019.958333
2020-01-01,2020,1,237.680000,2020.041667
2020-02-01,2020,2,239.020000,2020.125000
2020-03-01,2020,3,239.020000,2020.208333
2020-04-01,2020,4,239.770000,2020.291667
2020-05-01,2020,5,241.860000,2020.375000
2020-06-01,2020,6,243.740000,2020.458333
2020-07-01,2020,7,244.460000,2020.541667
2020-08-01,2020,8,244.860000,2020.625000
2020-09-01,2020,9,243.490000,2020.708333
2020-10-01,2020,10,240.750000,2020.791667
2020-11-01,2020,11,239.410000,2020.875000
2020-12-01,2020,12,237.840000,2020.958333
2021-01-01,2021,1,237.530000,2021.041667
2021-02-01,2021,2,238.630000,2021.125000
2021-03-01,2021,3,238.410000,2021.208333
2021-04-01,2021,4,238.660000,2021.291667
2021-05-01,2021,5,240.570000,2021.375000
2021-06-01,2021,6,242.540000,2021.458333
2021-07-01,2021,7,244.100000,2021.541667
2021-08-01,2021,8,244.610000,2021.625000
2021-09-01,2021,9,242.610000,2021.708333
2021-10-01,2021,10,240.960000,2021.791667
2021-11-01,2021,11,238.270000,2021.875000
2021-12-01,2021,12,237.410000,2021.958333
2022-01-01,2022,1,237.400000,2022.041667
2022-02-01,2022,2,238.780000,2022.125000
2022-03-01,2022,3,238.570000,2022.208333
2022-04-01,2022,4,240.080000,2022.291667
2022-05-01,2022,5,241.500000,2022.375000
2022-06-01,2022,6,243.100000,2022.458333
2022-07-01,2022,7,244.790000,2022.541667
2022-08-01,2022,8,243.960000,2022.625000
2022-09-01,2022,9,242.960000,2022.708333
2022-10-01,2022,10,240.670000,2022.791667
2022-11-01,2022,11,238.470000,2022.875000
2022-12-01,2022,12,237.290000,2022.958333
2023-01-01,2023,1,238.170000,2023.041667
2023-02-01,2023,2,238.410000,2023.125000
2023-03-01,2023,3,238.840000,2023.208333
2023-04-01,2023,4,238.810000,2023.291667
2023-05-01,2023,5,240.090000,2023.375000
2023-06-01,2023,6,243.920000,2023.458333
2023-07-01,2023,7,245.590000,2023.541667
2023-08-01,2023,8,246.010000,2023.625000
2023-09-01,2023,9,244.610000,2023.708333
2023-10-01,2023,10,242.530000,2023.791667
2023-11-01,2023,11,239.300000,2023.875000
2023-12-01,2023,12,238.260000,2023.958333
2024-01-01,2024,1,238.820000,2024.041667
2024-02-01,2024,2,239.190000,2024.125000
2024-03-01,2024,3,239.210000,2024.208333
2024-04-01,2024,4,239.870000,2024.291667
2024-05-01,2024,5,242.420000,2024.375000
2024-06-01,2024,6,244.130000,2024.458333
2024-07-01,2024,7,245.300000,2024.541667
2024-08-01,2024,8,245.630000,2024.625000
2024-09-01,2024,9,244.560000,2024.708333
2024-10-01,2024,10,241.530000,2024.791667
2024-11-01,2024,11,239.630000,2024.875000
2024-12-01,2024,12,238.880000,2024.958333
2025-01-01,2025,1,238.760000,2025.041667
2025-02-01,2025,2,239.650000,2025.125000
2025-03-01,2025,3,240.010000,2025.208333
2025-04-01,2025,4,240.220000,2025.291667
2025-05-01,2025,5,241.560000,2025.375000
2025-06-01,2025,6,244.210000,2025.458333
2025-07-01,2025,7,244.930000,2025.541667
2025-08-01,2025,8,244.840000,2025.625000
2025-09-01,2025,9,243.900000,2025.708333
2025-10-01,2025,10,241.620000,2025.791667
2025-11-01,2025,11,239.380000,2025.875000
2025-12-01,2025,12,237.240000,2025.958333
2026-01-01,2026,1,238.260000,2026.041667
2026-02-01,2026,2,238.990000,2026.125000
