Year,Cumulative CO₂ emissions,GtCO2,Year63,GtC
2010,1342110600000,1342.110600,2010.100000,366.030164
2011,1376590600000,1376.590600,2011.100000,375.433800
2012,1411545300000,1411.545300,2012.100000,384.966900
2013,1446821100000,1446.821100,2013.100000,394.587573
2014,1482286800000,1482.286800,2014.100000,404.260036
2015,1517690400000,1517.690400,2015.100000,413.915564
2016,1553083100000,1553.083100,2016.100000,423.568118
2017,1589057800000,1589.057800,2017.100000,433.379400
2018,1625791800000,1625.791800,2018.100000,443.397764
2019,1662878400000,1662.878400,2019.100000,453.512291
2020,1698036600000,1698.036600,2020.100000,463.100891
2021,1734903500000,1734.903500,2021.100000,473.155500
2022,1772431200000,1772.431200,2022.100000,483.390327
2023,1810525300000,1810.525300,2023.100000,493.779627
2024,1849123900000,1849.123900,2024.100000,504.306518
