date,year,month,toa_net_flux_w_m2,decimal_year
2011-11-01,2011,11,0.650000,2011.875000
2011-12-01,2011,12,1.790000,2011.958333
2012-01-01,2012,1,0.160000,2012.041667
2012-02-01,2012,2,-0.220000,2012.125000
2012-03-01,2012,3,0.850000,2012.208333
2012-04-01,2012,4,0.410000,2012.291667
2012-05-01,2012,5,-0.540000,2012.375000
2012-06-01,2012,6,-0.520000,2012.458333
2012-07-01,2012,7,0.330000,2012.541667
2012-08-01,2012,8,0.270000,2012.625000
2012-09-01,2012,9,0.390000,2012.708333
2012-10-01,2012,10,-0.610000,2012.791667
2012-11-01,2012,11,0.230000,2012.875000
2012-12-01,2012,12,0.140000,2012.958333
2013-01-01,2013,1,1.140000,2013.041667
2013-02-01,2013,2,0.580000,2013.125000
2013-03-01,2013,3,0.220000,2013.208333
2013-04-01,2013,4,0.790000,2013.291667
2013-05-01,2013,5,0.350000,2013.375000
2013-06-01,2013,6,0.920000,2013.458333
2013-07-01,2013,7,0.740000,2013.541667
2013-08-01,2013,8,0.070000,2013.625000
2013-09-01,2013,9,0.730000,2013.708333
2013-10-01,2013,10,0.280000,2013.791667
2013-11-01,2013,11,0.640000,2013.875000
2013-12-01,2013,12,0.130000,2013.958333
2014-01-01,2014,1,0.540000,2014.041667
2014-02-01,2014,2,0.590000,2014.125000
2014-03-01,2014,3,-0.100000,2014.208333
2014-04-01,2014,4,0.140000,2014.291667
2014-05-01,2014,5,0.100000,2014.375000
2014-06-01,2014,6,0.650000,2014.458333
2014-07-01,2014,7,0.680000,2014.541667
2014-08-01,2014,8,-0.510000,2014.625000
2014-09-01,2014,9,0.060000,2014.708333
2014-10-01,2014,10,-0.340000,2014.791667
2014-11-01,2014,11,0.230000,2014.875000
2014-12-01,2014,12,0.790000,2014.958333
2015-01-01,2015,1,0.440000,2015.041667
2015-02-01,2015,2,-0.080000,2015.125000
2015-03-01,2015,3,0.270000,2015.208333
2015-04-01,2015,4,-0.120000,2015.291667
2015-05-01,2015,5,-0.380000,2015.375000
2015-06-01,2015,6,0.140000,2015.458333
2015-07-01,2015,7,-0.490000,2015.541667
2015-08-01,2015,8,-0.710000,2015.625000
2015-09-01,2015,9,-0.800000,2015.708333
2015-10-01,2015,10,-0.800000,2015.791667
2015-11-01,2015,11,0.030000,2015.875000
2015-12-01,2015,12,-0.130000,2015.958333
2016-01-01,2016,1,-0.020000,2016.041667
2016-02-01,2016,2,0.150000,2016.125000
2016-03-01,2016,3,0.050000,2016.208333
2016-04-01,2016,4,-0.730000,2016.291667
2016-05-01,2016,5,-0.300000,2016.375000
2016-06-01,2016,6,-0.990000,2016.458333
2016-07-01,2016,7,-0.490000,2016.541667
2016-08-01,2016,8,-0.180000,2016.625000
2016-09-01,2016,9,-0.260000,2016.708333
2016-10-01,2016,10,-0.280000,2016.791667
2016-11-01,2016,11,-0.840000,2016.875000
2016-12-01,2016,12,-0.540000,2016.958333
2017-01-01,2017,1,-1.640000,2017.041667
2017-02-01,2017,2,-1.350000,2017.125000
2017-03-01,2017,3,-0.600000,2017.208333
2017-04-01,2017,4,-0.990000,2017.291667
2017-05-01,2017,5,-0.410000,2017.375000
2017-06-01,2017,6,-0.510000,2017.458333
2017-07-01,2017,7,-0.790000,2017.541667
2017-08-01,2017,8,0.350000,2017.625000
2017-09-01,2017,9,0.120000,2017.708333
2017-10-01,2017,10,0.550000,2017.791667
2017-11-01,2017,11,0.200000,2017.875000
2017-12-01,2017,12,0.380000,2017.958333
2018-01-01,2018,1,-0.240000,2018.041667
2018-02-01,2018,2,0.730000,2018.125000
2018-03-01,2018,3,0.080000,2018.208333
2018-04-01,2018,4,-1.160000,2018.291667
2018-05-01,2018,5,-0.620000,2018.375000
2018-06-01,2018,6,0.230000,2018.458333
2018-07-01,2018,7,-0.070000,2018.541667
2018-08-01,2018,8,0.330000,2018.625000
2018-09-01,2018,9,-0.790000,2018.708333
2018-10-01,2018,10,-0.720000,2018.791667
2018-11-01,2018,11,-0.730000,2018.875000
2018-12-01,2018,12,-1.080000,2018.958333
2019-01-01,2019,1,-0.270000,2019.041667
2019-02-01,2019,2,-0.760000,2019.125000
2019-03-01,2019,3,-1.030000,2019.208333
